iter	RMSE
0	7881.286388
1	7550.532315
2	7006.456368
3	6623.700344
4	6289.909036
5	5978.238032
6	5671.629514
7	5337.923324
8	5041.700336
9	4860.94547
10	4643.34249
11	4389.242059
12	4205.674425
13	4048.61689
14	3893.206704
15	3721.213174
16	3580.399296
17	3415.776114
18	3295.169022
19	3213.308906
20	3073.732737
21	2976.269545
22	2857.515369
23	2739.381454
24	2613.883154
25	2516.209497
26	2413.223531
27	2328.259492
28	2251.200044
29	2168.031744
30	2097.906205
31	2024.464178
32	1952.963466
33	1906.249511
34	1836.94173
35	1761.132679
36	1703.700562
37	1642.105763
38	1591.731025
39	1528.638477
40	1468.190172
41	1425.668323
42	1374.582315
43	1329.496506
44	1297.253259
45	1261.555883
46	1230.30202
47	1193.300221
48	1164.092739
49	1132.9954
50	1108.448522
51	1078.61052
52	1050.252289
53	1022.341104
54	1004.648482
55	977.5976548
56	946.1612657
57	927.8939379
58	909.2801412
59	893.9792884
60	869.5397213
61	845.6173503
62	829.8065054
63	810.6482788
64	796.7095001
65	776.9488855
66	764.055135
67	748.3669179
68	737.1312705
69	721.300226
70	704.028136
71	688.3835261
72	674.8281888
73	664.1313085
74	650.1319948
75	640.8224607
76	625.7472164
77	614.4301831
78	602.7984039
79	593.951522
80	588.2292511
81	575.2225543
82	564.2019153
83	556.8512296
84	549.2450813
85	540.05801
86	530.850764
87	526.3618874
88	517.9685892
89	506.8433008
90	497.9043116
91	484.8671787
92	476.763208
93	471.260169
94	463.6282838
95	459.7276558
96	452.5593316
97	445.7692089
98	439.3361888
99	431.8453887
100	425.8545687
101	420.1794216
102	416.8537538
103	411.070609
104	405.0362585
105	397.7741273
106	389.1674245
107	384.1911154
108	379.4792862
109	373.8110157
110	369.4552426
111	364.1084946
112	358.4553242
113	353.6134485
114	350.52593
115	346.8619931
116	343.4022327
117	339.9738303
118	335.22474
119	330.1399877
120	327.1324205
121	322.3610336
122	318.8629071
123	314.7640562
124	312.0660678
125	307.851013
126	304.4758977
127	298.7228276
128	295.9431603
129	289.2653309
130	285.6946045
131	283.3077402
132	277.2412103
133	274.3160447
134	273.501546
135	270.3483608
136	267.4078048
137	265.0963235
138	264.3936852
139	260.5982611
140	257.9507708
141	257.3155783
142	256.7318569
143	254.9792344
144	249.9681602
145	249.4725798
146	249.0148697
147	248.5914956
148	246.7733006
149	244.3778772
150	244.0067258
151	240.9348219
152	236.3798013
153	232.0617326
154	230.4370922
155	230.1298075
156	228.1054342
157	225.3380615
158	223.4986964
159	220.8326713
160	218.7097036
161	217.0923405
162	214.0949438
163	212.2801527
164	210.5123946
165	208.881143
166	206.8547638
167	204.9687881
168	203.349833
169	201.6133166
170	200.3755452
171	198.4791998
172	197.3990086
173	195.3609171
174	193.9970043
175	192.636571
176	191.4629892
177	189.856599
178	188.5381164
179	186.9012768
180	185.6652978
181	184.5529493
182	183.6388715
183	181.6930617
184	178.8086208
185	177.3935747
186	174.7001013
187	173.0923536
188	171.5894737
189	170.5892659
190	167.3756619
191	166.5143271
192	164.7684407
193	163.3866964
194	162.4763956
195	159.535681
196	157.2165278
197	156.432227
198	155.8441283
199	155.0414927
200	153.5638524
201	151.7791286
202	150.4621076
203	148.8238412
204	145.8909904
205	144.4378899
206	143.21236
207	141.0631575
208	139.9171045
209	137.9011139
210	136.0053371
211	134.9542822
212	133.5071217
213	132.511969
214	129.9402601
215	129.0100007
216	128.1330364
217	127.429119
218	125.4474856
219	123.575136
220	121.7386955
221	119.2443708
222	118.1334609
223	115.9407868
224	113.4528853
225	113.2102535
226	112.1482397
227	110.1536756
228	109.2289351
229	108.5242739
230	106.8532772
231	106.0839314
232	105.8501665
233	103.7948577
234	103.5809089
235	102.5004068
236	101.5484618
237	100.4087229
238	99.51354361
239	98.98384896
240	97.49903502
241	96.44106398
242	95.001301
243	94.17975256
244	93.70598544
245	93.13497318
246	92.43768717
247	91.72887698
248	90.56403353
249	89.93812388
250	88.59915419
251	87.33002567
252	86.7495987
253	85.53922099
254	83.44115371
255	82.33382019
256	81.44096699
257	80.8400853
258	80.34364213
259	79.25106432
260	78.42513905
261	77.45792508
262	76.90682925
263	76.06690424
264	75.56823669
265	74.78238689
266	73.47904213
267	73.06927092
268	71.87740262
269	70.92163241
270	69.98944092
271	69.44098353
272	68.73247035
273	68.05690229
274	67.2137069
275	66.16580547
276	65.95510095
277	64.84448984
278	64.46547984
279	63.98813911
280	63.40731796
281	62.96852096
282	62.33431131
283	61.99951171
284	61.2483662
285	60.04226674
286	59.44471523
287	58.3090589
288	58.01198989
289	57.77158081
290	57.48658503
291	57.10885913
292	56.47382168
293	55.158853
294	54.12340776
295	53.31753534
296	52.1178905
297	51.91747996
298	51.18307346
299	50.37543265
300	49.61067051
301	49.12479756
302	48.13243838
303	47.61912642
304	47.43166133
305	46.40769352
306	45.90759431
307	45.4904976
308	44.62010732
309	44.09794003
310	43.7691137
311	42.9691354
312	42.66814979
313	42.33485579
314	41.88931495
315	41.62664343
316	41.04440878
317	40.63488143
318	39.78689771
319	39.29083812
320	39.07124201
321	38.90656328
322	38.70461869
323	38.14719592
324	37.65502911
