iter	Passed	Remaining
0	178	89048
1	198	49374
2	208	34504
3	223	27684
4	235	23312
5	247	20382
6	253	17876
7	269	16548
8	281	15344
9	300	14721
10	320	14231
11	340	13836
12	357	13407
13	367	12742
14	385	12474
15	404	12230
16	423	12038
17	430	11533
18	451	11440
19	472	11331
20	487	11127
21	506	10996
22	521	10824
23	531	10531
24	543	10317
25	561	10231
26	579	10152
27	603	10177
28	611	9928
29	625	9795
30	643	9734
31	655	9589
32	673	9532
33	685	9395
34	700	9310
35	710	9153
36	722	9039
37	740	9002
38	759	8976
39	769	8843
40	777	8709
41	795	8678
42	805	8561
43	815	8448
44	833	8423
45	846	8349
46	864	8329
47	882	8311
48	902	8308
49	920	8287
50	939	8271
51	953	8212
52	972	8205
53	985	8137
54	1004	8123
55	1022	8106
56	1041	8093
57	1059	8073
58	1077	8056
59	1096	8040
60	1115	8024
61	1134	8011
62	1153	8003
63	1172	7989
64	1191	7975
65	1209	7955
66	1243	8035
67	1262	8022
68	1281	8004
69	1300	7989
70	1318	7968
71	1336	7945
72	1354	7922
73	1373	7905
74	1391	7887
75	1409	7865
76	1429	7850
77	1447	7828
78	1465	7807
79	1483	7790
80	1503	7779
81	1522	7762
82	1541	7742
83	1560	7727
84	1578	7708
85	1596	7687
86	1615	7668
87	1633	7649
88	1651	7625
89	1669	7605
90	1686	7582
91	1705	7563
92	1724	7545
93	1743	7529
94	1762	7514
95	1781	7498
96	1801	7483
97	1840	7550
98	1862	7545
99	1882	7528
100	1901	7512
101	1920	7491
102	1938	7470
103	1958	7456
104	1977	7440
105	1997	7424
106	2016	7405
107	2035	7386
108	2053	7364
109	2071	7344
110	2089	7323
111	2108	7303
112	2125	7280
113	2143	7258
114	2161	7237
115	2180	7217
116	2199	7200
117	2217	7178
118	2235	7155
119	2253	7136
120	2271	7116
121	2290	7097
122	2308	7076
123	2326	7054
124	2344	7034
125	2362	7013
126	2388	7015
127	2409	7001
128	2428	6984
129	2446	6964
130	2464	6943
131	2483	6924
132	2502	6905
133	2520	6884
134	2539	6866
135	2559	6850
136	2577	6830
137	2595	6808
138	2613	6786
139	2631	6765
140	2649	6747
141	2668	6727
142	2687	6709
143	2707	6692
144	2726	6674
145	2746	6658
146	2767	6645
147	2787	6630
148	2809	6617
149	2830	6604
150	2850	6589
151	2870	6571
152	2891	6558
153	2910	6539
154	2929	6520
155	2948	6502
156	2967	6483
157	2985	6463
158	3004	6444
159	3023	6425
160	3042	6406
161	3060	6385
162	3079	6366
163	3097	6346
164	3115	6325
165	3134	6306
166	3153	6287
167	3172	6269
168	3193	6253
169	3212	6235
170	3231	6217
171	3249	6197
172	3269	6179
173	3287	6159
174	3306	6141
175	3325	6121
176	3343	6101
177	3362	6082
178	3381	6064
179	3401	6047
180	3420	6028
181	3439	6009
182	3458	5990
183	3478	5973
184	3497	5954
185	3516	5936
186	3535	5916
187	3556	5903
188	3580	5891
189	3603	5880
190	3623	5862
191	3642	5843
192	3663	5827
193	3682	5809
194	3702	5791
195	3723	5774
196	3743	5757
197	3764	5742
198	3785	5725
199	3803	5705
200	3823	5687
201	3842	5668
202	3862	5651
203	3882	5633
204	3901	5614
205	3920	5594
206	3942	5580
207	3961	5561
208	3979	5541
209	3997	5520
210	4016	5500
211	4139	5623
212	4205	5666
213	4266	5701
214	4335	5747
215	4464	5869
216	4612	6015
217	4695	6073
218	4757	6104
219	4861	6187
220	4988	6297
221	5144	6442
222	5231	6498
223	5279	6504
224	5325	6508
225	5435	6590
226	5524	6644
227	5609	6692
228	5763	6820
229	5881	6904
230	5989	6975
231	6121	7071
232	6292	7211
233	6406	7282
234	6543	7378
235	6625	7411
236	6680	7413
237	6734	7413
238	6790	7415
239	6848	7419
240	6903	7419
241	6962	7422
242	7012	7416
243	7055	7403
244	7104	7394
245	7161	7393
246	7216	7391
247	7271	7388
248	7337	7396
249	7469	7469
250	7620	7560
251	7802	7678
252	7938	7750
253	8055	7801
254	8200	7878
255	8280	7892
256	8338	7884
257	8387	7867
258	8445	7858
259	8504	7850
260	8616	7890
261	8737	7937
262	8864	7987
263	8978	8026
264	9041	8018
265	9101	8006
266	9226	8051
267	9377	8117
268	9531	8185
269	9669	8237
270	9825	8302
271	9963	8351
272	10087	8387
273	10161	8381
274	10290	8419
275	10442	8474
276	10592	8527
277	10726	8565
278	10874	8613
279	11021	8659
280	11136	8679
281	11286	8725
282	11371	8719
283	11516	8758
284	11633	8775
285	11782	8816
286	11929	8853
287	12077	8890
288	12228	8928
289	12346	8940
290	12494	8973
291	12646	9008
292	12796	9040
293	12942	9068
294	13082	9091
295	13232	9119
296	13326	9108
297	13445	9114
298	13596	9140
299	13748	9165
300	13866	9167
301	14017	9190
302	14101	9168
303	14236	9178
304	14349	9174
305	14466	9171
306	14549	9147
307	14700	9164
308	14849	9178
309	14982	9182
310	15114	9185
311	15228	9176
312	15300	9141
313	15447	9150
314	15594	9158
315	15724	9155
316	15814	9129
317	15887	9092
318	16032	9097
319	16175	9098
320	16271	9073
321	16344	9035
322	16480	9031
323	16666	9053
324	16767	9028
325	16825	8980
326	16912	8947
327	16989	8909
328	17097	8886
329	17243	8882
330	17377	8872
331	17507	8859
332	17618	8835
333	17743	8818
334	17826	8780
335	17936	8754
336	18034	8722
337	18194	8720
338	18273	8678
339	18382	8650
340	18533	8641
341	18658	8620
342	18805	8607
343	18882	8563
344	18997	8535
345	19147	8522
346	19278	8500
347	19350	8452
348	19420	8402
349	19550	8378
350	19678	8353
351	19742	8300
352	19800	8245
353	19859	8190
354	19920	8136
355	19969	8077
356	20037	8026
357	20095	7970
358	20153	7915
359	20201	7855
360	20298	7815
361	20468	7802
362	20616	7780
363	20765	7758
364	20895	7728
365	21030	7699
366	21193	7680
367	21340	7654
368	21473	7623
369	21621	7596
370	21734	7557
371	21831	7511
372	21959	7476
373	22084	7440
374	22212	7404
375	22364	7375
376	22514	7345
377	22681	7320
378	22761	7266
379	22914	7236
380	23066	7204
381	23190	7163
382	23284	7112
383	23431	7078
384	23580	7043
385	23729	7008
386	23896	6977
387	24005	6929
388	24127	6884
389	24271	6845
390	24422	6808
391	24545	6762
392	24667	6716
393	24799	6672
394	24981	6640
395	25048	6578
396	25111	6515
397	25196	6457
398	25336	6413
399	25413	6353
400	25514	6298
401	25661	6255
402	25809	6212
403	25961	6169
404	26085	6118
405	26226	6072
406	26359	6023
407	26499	5975
408	26569	5911
409	26695	5859
410	26811	5806
411	26961	5758
412	27089	5706
413	27182	5646
414	27271	5585
415	27419	5536
416	27565	5486
417	27715	5436
418	27863	5386
419	28028	5338
420	28178	5287
421	28326	5235
422	28470	5182
423	28603	5127
424	28714	5067
425	28800	5002
426	28911	4942
427	29033	4884
428	29136	4822
429	29194	4752
430	29325	4694
431	29419	4630
432	29564	4574
433	29711	4518
434	29816	4455
435	29879	4385
436	29980	4322
437	30074	4257
438	30151	4189
439	30236	4123
